chapter,paragraph,sentence,entities
0,0,32,['Dassem Ultor']
0,0,36,['Dassem Ultor']
0,0,88,"['Laseen', 'Laseen', 'Napan tutor']"
0,0,93,['Napan tutor']
0,0,100,['Napan tutor']
0,0,105,['Surly']
0,0,128,['Surly']
0,0,149,['Ganoes Stabro Paran']
1,0,10,['Laseen']
1,0,38,['Rigga']
1,0,44,['Rigga']
1,0,49,['Ilgrand Lender']
1,0,54,['Rigga']
1,0,62,['Rigga']
1,0,71,['Rigga']
1,0,74,['Rigga']
1,0,75,"['Rigga', 'Pannion Seer']"
1,0,76,['Rigga']
1,0,81,['Rigga']
1,0,88,['Rigga']
1,0,92,['Rigga']
1,0,94,['Pannion Seer']
1,0,100,['Rigga']
1,0,102,['Rigga']
1,0,104,['Rigga']
1,0,106,['Rigga']
1,0,107,['Pannion Seer']
1,0,108,['Rigga']
1,0,110,['Rigga']
1,0,116,['Rigga']
1,0,152,['Rigga']
1,0,189,['Laseen']
1,0,200,['Shadowthrone Ammanas']
1,0,206,['Rigga']
1,0,207,['Shadowthrone Ammanas']
1,0,210,['Shadowthrone Ammanas']
1,0,214,['Laseen']
1,0,217,['Rope Cotillion']
1,0,223,['Laseen']
1,0,226,"['Rigga', 'Shadowthrone Ammanas']"
1,0,234,['Shadowthrone Ammanas']
1,0,236,['Shadowthrone Ammanas']
1,0,255,['Shadowthrone Ammanas']
1,0,257,['Rope Cotillion']
1,0,264,['Shadowthrone Ammanas']
1,0,269,['Shadowthrone Ammanas']
1,1,17,['Laseen']
1,1,81,['Lorn']
1,1,94,['Lorn']
1,1,104,['Lorn']
1,1,113,['Lorn']
1,1,116,['Ganoes Stabro Paran']
1,1,117,['Ganoes Stabro Paran']
1,1,123,['Ganoes Stabro Paran']
1,1,127,['Ganoes Stabro Paran']
1,1,135,['Lorn']
1,1,144,['Lorn']
1,1,154,['Ganoes Stabro Paran']
1,1,155,['Ganoes Stabro Paran']
1,1,164,['Ganoes Stabro Paran']
1,1,167,"['Lorn', 'Ganoes Stabro Paran']"
1,1,171,['Ganoes Stabro Paran']
1,1,175,['Lorn']
1,1,192,['Ganoes Stabro Paran']
1,1,201,['Lorn']
1,1,206,['Ganoes Stabro Paran']
1,1,219,['Ganoes Stabro Paran']
1,1,231,['Ganoes Stabro Paran']
1,1,246,['Ganoes Stabro Paran']
1,1,249,['Ganoes Stabro Paran']
1,1,258,['Ganoes Stabro Paran']
1,1,265,['Ganoes Stabro Paran']
1,1,275,['Ganoes Stabro Paran']
1,1,281,['Ganoes Stabro Paran']
1,2,2,['Ganoes Stabro Paran']
1,2,11,['Ganoes Stabro Paran']
1,2,21,['Lorn']
1,2,29,['Lorn']
1,2,34,['Ganoes Stabro Paran']
1,2,40,['Ganoes Stabro Paran']
1,2,45,['Ganoes Stabro Paran']
1,3,9,['Aragan']
1,3,11,['Laseen']
1,3,14,['Aragan']
1,3,26,['Aragan']
1,3,35,['Aragan']
1,3,40,"['Dujek Onearm', 'Aragan']"
1,3,43,['Sorry']
1,3,44,['Aragan']
1,3,49,['Aragan']
1,4,4,['Ganoes Stabro Paran']
1,4,6,['Ganoes Stabro Paran']
1,4,9,['Ganoes Stabro Paran']
1,4,16,['Ganoes Stabro Paran']
1,4,19,['Ganoes Stabro Paran']
1,4,21,['Ganoes Stabro Paran']
1,4,23,['Ganoes Stabro Paran']
1,4,33,['Ganoes Stabro Paran']
1,4,41,['Ganoes Stabro Paran']
1,4,43,['Ganoes Stabro Paran']
1,4,50,['Ganoes Stabro Paran']
1,5,1,['Ganoes Stabro Paran']
1,5,7,['Ganoes Stabro Paran']
1,5,12,['Ganoes Stabro Paran']
1,5,16,['Ganoes Stabro Paran']
1,5,28,['Ganoes Stabro Paran']
1,5,35,['Ganoes Stabro Paran']
1,5,40,['Ganoes Stabro Paran']
1,5,51,['Ganoes Stabro Paran']
1,5,64,['Topper']
1,5,65,['Ganoes Stabro Paran']
1,5,74,['Ganoes Stabro Paran']
1,5,79,['Ganoes Stabro Paran']
1,5,93,['Ganoes Stabro Paran']
1,5,94,['Ganoes Stabro Paran']
1,5,98,['Ganoes Stabro Paran']
1,5,101,['Topper']
1,5,102,['Laseen']
1,5,108,['Ganoes Stabro Paran']
1,5,122,['Ganoes Stabro Paran']
1,5,125,['Ganoes Stabro Paran']
1,5,129,['Ganoes Stabro Paran']
1,5,135,['Ganoes Stabro Paran']
1,5,141,['Topper']
1,5,142,['Ganoes Stabro Paran']
1,5,145,['Ganoes Stabro Paran']
1,5,151,['Topper']
1,5,156,['Ganoes Stabro Paran']
1,5,162,['Ganoes Stabro Paran']
1,5,166,['Topper']
1,5,169,['Ganoes Stabro Paran']
1,5,172,['Ganoes Stabro Paran']
1,5,173,['Topper']
1,6,3,['Ganoes Stabro Paran']
1,6,8,['Ganoes Stabro Paran']
1,6,12,['Ganoes Stabro Paran']
1,6,14,['Topper']
1,6,17,['Ganoes Stabro Paran']
1,6,20,['Topper']
1,6,21,['Ganoes Stabro Paran']
1,6,29,['Ganoes Stabro Paran']
1,6,33,['Ganoes Stabro Paran']
